en,fr
Advent,Avent
Christmastide,Temps de Noël
Embertide,Quatre-Temps
Time after Epiphany,Temps après l'Épiphanie
Septuagesima,Septuagésime
Shrovetide,Jours Gras
Lent,Carême
Passiontide,Temps de la Passion
Holy Week,Semaine Sainte
Paschal Triduum,Triduum Pascal
Eastertide,Temps Pascal
Time after Pentecost,Temps après la Pentecôte
Hallowtide,Octave de la Toussaint
Epiphany,Épiphanie
Pentecost,Pentecôte
Easter,Pâques
Ascension,Ascension
The Circumcision,La Circoncision
Three Kings Day,Épiphanie
Baptism of Christ,Baptême du Christ
St. Hilary,St Hilaire
St. Anthony the Great,St Antoine le Grand
Pope Fabian & St. Sebastian,Saint Fabien et Saint Sébastien
St. Agnes,Ste Agnès
Conversion of St. Paul,Conversion de Saint Paul
St. Polycarp,St Polycarpe
St. John Bosco,St Jean Bosco
The Purification,La Purification
St. Bernadette,Ste Bernadette
St. Matthias,St Matthias
St. Thomas Aquinas,St Thomas d'Aquin
St. Gregory the Great,St Grégoire le Grand
St. Patrick,St Patrice
St. Joseph,St Joseph
The Annunciation,L'Annonciation
St. George,St Georges
St. Mark,St Marc
SS. Philip & James,St Philippe et St Jacques
St. Athanasius,St Athanase
The Finding of the Holy Cross,L'Invention de la Sainte Croix
St. Monica,Ste Monique
St. Joan of Arc,Ste Jeanne d'Arc
St. Boniface,St Boniface
St. Barnabas,St Barnabé
St. Anthony of Padua,St Antoine de Padoue
St. John the Baptist,St Jean-Baptiste
SS. Peter & Paul,St Pierre et St Paul
The Visitation,La Visitation
St. Benedict,St Benoît
St. Mary Magdalene,Ste Marie-Madeleine
St. James the Greater,St Jacques le Majeur
St. Anne,Ste Anne
St. Ignatius of Loyola,St Ignace de Loyola
St. Alphonsus Liguori,St Alphonse de Liguori
St. Dominic,St Dominique
The Transfiguration,La Transfiguration
St. Lawrence,St Laurent
The Assumption,L'Assomption
St. Bernard,St Bernard
St. Bartholomew,St Barthélemy
St. Augustine,St Augustin
St. Pius X,St Pie X
The Nativity of the Blessed Virgin Mary,Nativité de la B.V.M.
The Exaltation of the Holy Cross,Exaltation de la Sainte Croix
St. Matthew,St Matthieu
St. Michael the Archangel,St Michel Archange
St. Jerome,St Jérôme
St. Therese of the Child Jesus,Ste Thérèse de l'Enfant-Jésus
St. Francis of Assisi,St François d'Assise
St. Bruno,St Bruno
St. Luke,St Luc
St. Raphael the Archangel,St Raphaël Archange
SS. Simon & Jude,St Simon et St Jude
All Saints Day,La Toussaint
All Souls Day,Commémoraison des fidèles défunts
St. Martin of Tours,St Martin de Tours
St. Cecilia,Ste Cécile
St. Clement I,St Clément Ier
St. Catherine of Alexandria,Ste Catherine d'Alexandrie
