en,fr,notes
Abbot,Abbé,
Apostle,Apôtre,
Archangel,Archange,
Bishop,Évêque,
Confessor,Confesseur,
Deacon,Diacre,
Dedication,Dédicace,
Doctor,Docteur,
Doctor of the Church,Docteur de l'Église,
Emperor,Empereur,
Evangelist,Évangéliste,
Father of the Blessed Virgin Mary,Père de la Bienheureuse Vierge Marie,
Martyr,Martyr,
Mother of the Blessed Virgin Mary,Mère de la Bienheureuse Vierge Marie,
Penitent,Pénitente,
Pope,Pape,
Priest,Prêtre,
Queen,Reine,
Queen of Scotland,Reine d'Écosse,
Widow,Veuve,
Virgin,Vierge,
Virgin and Martyr,Vierge et Martyre,
