dates_en,dates_ja,en,ja,titles_1,titles_2,class,color,url,notes
5-Jan,1月5日,St. Telesphorus,聖テレスフォロ教皇,Pope,,,Red,,Commemoration
14-Jan,1月14日,St. Felix,聖フェリチェ（聖フェリクス）,Priest,Martyr,,Red,,Commemoration
15-Jan,1月15日,St. Maurus,聖マウロ,Abbot,,,White,,Commemoration
19-Jan,1月19日,St. Canute,聖カヌート四世,Martyr,,,Red,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=011901,Commemoration
23-Jan,1月23日,St. Emerentiana,聖エメレンツィアナ,Virgin,Martyr,,Red,,Commemoration
25-Jan,1月25日,St. Peter,聖ペトロ,,,,,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=062901,"Commemoration, color:White?"
28-Jan,1月28日,St. Agnes,聖アグネス（第二の祝日）,Virgin,Martyr,,Red,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=012101,"Commemoration, second"
6-Feb,2月6日,St. Dorothy,聖ドロテア,Virgin,Martyr,,Red,,"Commemoration, second"
9-Feb,2月9日,St. Apollonia,聖アポロニア,Virgin,Martyr,,Red,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=020901,"Commemoration, second"
22-Feb,2月22日,Chair of St. Peter at Antioch,アンティオキアにおける聖ペトロの使徒座,,,2,White,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=022201,
22-Feb,2月22日,St. Paul,聖パウロ,,,,,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=062902,Commemoration
4-Mar,3月4日,St. Lucius I,聖ルチオ一世教皇,Pope,Martyr,,Red,,Commemoration
14-Apr,4月14日,"SS. Tiburtius, Valerian & Maximus",聖ティブルツィオ、聖ヴァレリアノ、聖マクシモ,Martyr,,,Red,,Commemoration
10-May,5月10日,SS. Gordian & Epimachus,聖ゴルディアノと聖エピマコ,Martyr,,,Red,,Commemoration
19-May,5月19日,St. Pudentiana,聖プデンツィアナ,Virgin,,,White,,Commemoration
25-May,5月25日,St. Urban I,聖ウルバノ一世教皇,Pope,Martyr,,Red,,Commemoration
26-May,5月26日,St. Eleutherius,聖エレウテリオ教皇,Pope,Martyr,,Red,,Commemoration
27-May,5月27日,St. John I,聖ヨハネ一世教皇,Pope,Martyr,,Red,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=051801,Commemoration
31-May,5月31日,St. Petronilla,聖ペトロニッラ,Virgin,,,White,,
21-Jun,6月21日,St. Aloysius Gonzaga,聖アロイジオ・ゴンザガ,Confessor,,3,White,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=062101,
30-Jun,6月30日,Commemoration of St. Paul,聖パウロの記念,Apostle,,1,Red,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=062902,
2-Jul,7月2日,Ss. Processus & Martinian,聖プロチェッソと聖マルティニアノ,Martyr,,,Red,,Commemoration
12-Jul,7月12日,Ss. Nabor ＆ Felix,聖ナボレと聖フェリチェ,Martyr,,,Red,,Commemoration
18-Jul,7月18日,St. Symphorosa & her seven Sons,聖シンフォローザとその七人の子ら,Martyr,,,Red,,Commemoration
20-Jul,7月20日,St. Margaret,聖マルガリタ,Martyr,,,Red,,Commemoration
23-Jul,7月23日,St. Liborius,聖リボリオ,Bishop,Confessor,,White,,Commemoration
25-Jul,7月25日,St. Christopher,聖クリストフォロ,Martyr,,,Red,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=070201,Commemoration
29-Jul,7月29日,"Ss. Felix, Simplicius, Faustinus & Beatrice",聖フェリチェ二世教皇、聖シンプリチオ、聖ファウスティノ、聖ベアトリチェ,Martyr,,,Red,,Commemoration
2-Aug,8月2日,St. Stephen I,聖ステファノ一世教皇,Pope,Martyr,,Red,,Commemoration
6-Aug,8月6日,"Ss. Xystus II Pope, Felicissimus ＆ Agapitus",聖シクスト二世教皇、聖フェリチシモ、聖アガピト,Martyr,,,Red,,Commemoration
7-Aug,8月7日,St. Donatus,聖ドナト,Bishop,Martyr,,Red,,Commemoration
9-Aug,8月9日,St. Romanus,聖ロマノ,Martyr,,,Red,,Commemoration
14-Aug,8月14日,St. Eusebius,聖エウゼビオ,Confessor,,,White,,Commemoration
22-Aug,8月22日,"Ss. Timothy, Hippolytus ＆ Symphorian",聖ティモテオ、聖ヒッポリト、聖シンフォリアノ,Martyr,,,Red,,Commemoration
28-Aug,8月28日,St. Hermes,聖ヘルメテ,Martyr,,,Red,,Commemoration
29-Aug,8月29日,St. Sabina,聖サビナ,Martyr,,,Red,,Commemoration
1-Sep,9月1日,Holy Twelve Brothers,聖なる十二兄弟,Martyr,,,Red,,Commemoration
8-Sep,9月8日,St. Hadrian,聖アドリアノ,Martyr,,,Red,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=090801,Commemoration
15-Sep,9月15日,St. Nicomedes,聖ニコメデ,Martyr,,,Red,,Commemoration
16-Sep,9月16日,"Ss. Euphemia, Lucy & Geminianus",聖エウフェミア、聖ルチア、聖ジェミニアノ,Martyr,,,Red,,Commemoration
22-Sep,9月22日,Ss. Maurice ＆ Companions,聖マウリチオ等,Martyr,,,Red,,Commemoration
